trade_id,run_id,branch_id,entry_model,stop_mode,exit_mode,direction,signal_time,entry_time,entry_time_msc,entry_bid,entry_ask,entry_price,initial_stop,final_active_stop,risk_points,exit_time,exit_time_msc,exit_bid,exit_ask,exit_price,exit_reason,points,ticks,gross_usd,cost_usd,net_usd,r_multiple,duration_seconds,mae_points,mfe_points,be_applied,lock_applied,entry_atr,equity_usd,peak_equity_usd,drawdown_usd,drawdown_pct_of_initial_risk_bank
800,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,SELL,2025.12.31 03:30:00,2025.12.31 04:00:00,1767153600118,25616.0,25616.75,25616.0,25816.0,25415.75,200.0,2026.01.02 19:25:05,1767381905776,25415.0,25415.75,25415.75,MFE_GIVEBACK_STOP,200.25,801.0,400.5,1.2,399.3,1.00125,228305,188.0,350.25,False,True,27.52569235848997,2617.7000000000044,4535.700000000002,1917.9999999999973,
815,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,BUY,2026.01.06 03:00:00,2026.01.06 03:30:01,1767670201035,25622.5,25623.0,25623.0,25423.0,25846.25,200.0,2026.01.07 20:31:27,1767817887522,25846.25,25847.25,25846.25,MFE_GIVEBACK_STOP,223.25,893.0,446.5,1.2,445.3,1.11625,147686,96.25,373.25,False,True,29.57577372162706,3063.0000000000045,4535.700000000002,1472.699999999997,
830,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,SELL,2026.01.08 15:00:00,2026.01.08 15:30:00,1767886200010,25696.5,25697.25,25696.5,25896.5,25896.5,200.0,2026.01.09 16:13:52,1767975232056,25896.0,25896.75,25896.5,MFE_GIVEBACK_STOP,-200.0,-800.0,-400.0,1.2,-401.2,-1.0,89032,200.25,112.5,False,False,61.736881307108526,2661.8000000000047,4535.700000000002,1873.899999999997,
845,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,BUY,2026.01.09 20:30:00,2026.01.09 21:00:00,1767992400005,25932.5,25933.0,25933.0,25733.0,25733.0,200.0,2026.01.12 01:34:56,1768181696836,25732.75,25733.75,25733.0,MFE_GIVEBACK_STOP,-200.0,-800.0,-400.0,1.2,-401.2,-1.0,189296,200.25,24.5,False,False,54.07311351569401,2260.600000000005,4535.700000000002,2275.0999999999967,
860,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,SELL,2026.01.14 05:00:00,2026.01.14 05:30:00,1768368600175,25864.25,25865.0,25864.25,26064.25,25683.5,200.0,2026.01.14 15:15:02,1768403702531,25686.75,25687.75,25683.5,MFE_GIVEBACK_STOP,180.75,723.0,361.5,1.2,360.3,0.90375,35102,14.75,330.75,False,True,33.21930120606322,2620.900000000005,4535.700000000002,1914.7999999999965,
875,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,BUY,2026.01.20 14:30:00,2026.01.20 15:00:00,1768921200014,25321.25,25323.0,25323.0,25123.0,25123.0,200.0,2026.01.20 20:14:57,1768940097504,25123.0,25124.0,25123.0,MFE_GIVEBACK_STOP,-200.0,-800.0,-400.0,1.2,-401.2,-1.0,18897,200.0,105.75,False,False,64.50868893221914,2219.7000000000053,4535.700000000002,2315.9999999999964,
890,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,SELL,2026.01.23 08:30:00,2026.01.23 09:00:00,1769158800044,25600.75,25602.25,25600.75,25800.75,25800.75,200.0,2026.01.23 15:48:45,1769183325869,25799.0,25801.25,25800.75,MFE_GIVEBACK_STOP,-200.0,-800.0,-400.0,1.2,-401.2,-1.0,24525,200.5,60.0,False,False,35.77452504324373,1818.5000000000052,4535.700000000002,2717.199999999996,
905,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,BUY,2026.01.23 19:00:00,2026.01.23 19:30:00,1769196600023,25745.25,25745.75,25745.75,25545.75,25545.75,200.0,2026.01.25 23:00:00,1769382000330,25515.5,25539.25,25545.75,MFE_GIVEBACK_STOP,-200.0,-800.0,-400.0,1.2,-401.2,-1.0,185400,230.25,12.5,False,False,62.50056302310092,1417.3000000000052,4535.700000000002,3118.3999999999965,
920,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,SELL,2026.01.28 19:30:00,2026.01.28 20:00:00,1769630400020,26160.25,26161.0,26160.25,26360.25,25736.25,200.0,2026.01.29 16:47:38,1769705258151,25735.75,25736.5,25736.25,MFE_GIVEBACK_STOP,424.0,1696.0,848.0,1.2,846.8,2.12,74858,135.75,624.0,False,True,56.12541124637342,2264.100000000005,4535.700000000002,2271.5999999999967,
935,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,FIRST_ALTERNATING_TRIANGLE,FIXED_200PTS,ADAPTIVE_MFE_GIVEBACK,BUY,2026.02.02 16:00:00,2026.02.02 16:30:00,1770049800035,25893.0,25893.5,25893.5,25693.5,25693.5,200.0,2026.02.03 14:56:02,1770130562860,25693.5,25694.0,25693.5,MFE_GIVEBACK_STOP,-200.0,-800.0,-400.0,1.2,-401.2,-1.0,80762,200.0,133.75,False,False,91.6603669576801,1862.9000000000049,4535.700000000002,2672.7999999999965,
