signal_id,run_id,signal_bar_time,entry_time,entry_mode,direction,entry_bid,entry_ask,signal_open,signal_high,signal_low,signal_close,atr,cloud_bull,supertrend_dir,supertrend_line,qqe_blue,qqe_red,regime_age_bars
41,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.12.08 01:00:00,2025.12.08 01:30:18,FIRST_ALTERNATING_TRIANGLE,BUY,26250.25,26251.0,26245.75,26264.5,26242.5,26248.75,89.12978915115771,True,1,25986.11063254653,True,False,5
42,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.12.08 18:00:00,2025.12.08 18:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,26129.0,26129.5,26179.75,26195.75,26127.75,26129.25,54.6012020404979,False,-1,26270.91648903888,False,True,7
43,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.12.10 04:30:00,2025.12.10 05:00:03,FIRST_ALTERNATING_TRIANGLE,BUY,26192.5,26193.25,26183.0,26209.5,26182.75,26193.25,22.972152454804515,True,1,26127.208542635588,True,False,23
44,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.12.10 15:30:00,2025.12.10 16:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,26066.5,26067.0,26135.0,26142.0,26049.75,26066.25,50.72382065030743,False,-1,26236.02255304806,False,True,12
45,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.12.10 20:00:00,2025.12.10 20:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,26335.75,26336.5,26323.0,26370.25,26287.5,26336.0,80.24896854029042,True,1,26088.128094379128,True,False,2
46,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.12.12 11:00:00,2025.12.12 11:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,26069.25,26070.25,26084.0,26088.0,26063.5,26069.75,35.58500708188194,False,-1,26182.505021245644,False,True,1
47,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.12.17 02:00:00,2025.12.17 02:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,25614.5,25615.25,25614.0,25616.75,25588.75,25616.0,63.23814741403343,True,1,25422.994716907368,True,False,30
48,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.12.17 15:30:00,2025.12.17 16:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,25327.75,25329.75,25583.5,25597.25,25307.0,25329.25,84.61211993161092,False,-1,25705.961359794837,False,True,3
49,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.12.21 23:00:00,2025.12.21 23:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,25647.0,25648.0,25635.25,25668.0,25632.25,25647.75,61.26859694779673,True,1,25466.31920915661,True,False,1
50,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.12.22 17:00:00,2025.12.22 17:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,25699.0,25699.25,25715.5,25718.75,25695.25,25699.0,39.03721938777193,False,-1,25787.47158184268,False,True,5
51,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.12.23 19:30:00,2025.12.23 20:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,25797.0,25797.5,25786.25,25800.5,25782.0,25797.25,31.344089638689088,True,1,25697.21773108393,True,False,9
52,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.12.29 02:30:00,2025.12.29 03:00:08,FIRST_ALTERNATING_TRIANGLE,SELL,25844.0,25845.25,25839.0,25850.0,25821.0,25846.0,25.453250373847396,False,-1,25900.002047154798,False,True,3
53,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.12.30 16:00:00,2025.12.30 16:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,25773.75,25774.0,25744.5,25793.75,25739.5,25773.75,42.79221265503087,True,1,25676.386756712705,True,False,1
54,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2025.12.31 03:30:00,2025.12.31 04:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,25616.0,25616.75,25614.75,25616.75,25606.75,25615.75,27.52569235848997,False,-1,25694.32707707547,False,True,11
55,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.01.06 03:00:00,2026.01.06 03:30:01,FIRST_ALTERNATING_TRIANGLE,BUY,25622.5,25623.0,25623.75,25629.25,25620.5,25622.25,29.57577372162706,True,1,25536.14767883512,True,False,30
56,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.01.08 15:00:00,2026.01.08 15:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,25696.5,25697.25,25603.75,25713.5,25569.0,25696.75,61.736881307108526,False,-1,25826.460643921324,False,True,2
57,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.01.09 20:30:00,2026.01.09 21:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,25932.5,25933.0,25967.25,25973.25,25930.25,25932.5,54.07311351569401,True,1,25801.589621614352,True,False,15
58,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.01.14 05:00:00,2026.01.14 05:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,25864.25,25865.0,25881.5,25883.25,25860.25,25864.5,33.21930120606322,False,-1,25971.40790361819,False,True,27
59,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.01.20 14:30:00,2026.01.20 15:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,25321.25,25323.0,25243.25,25368.5,25233.75,25324.75,64.50868893221914,True,1,25107.598933203342,True,False,1
60,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.01.23 08:30:00,2026.01.23 09:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,25600.75,25602.25,25628.75,25635.0,25581.0,25600.75,35.77452504324373,False,-1,25715.32357512973,False,True,35
61,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.01.23 19:00:00,2026.01.23 19:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,25745.25,25745.75,25726.25,25774.75,25723.75,25745.25,62.50056302310092,True,1,25634.120581928564,True,False,9
62,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.01.28 19:30:00,2026.01.28 20:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,26160.25,26161.0,26121.75,26210.25,26112.75,26160.75,56.12541124637342,False,-1,26287.321032090505,False,True,10
63,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.02.02 16:00:00,2026.02.02 16:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,25893.0,25893.5,25840.25,25898.75,25803.0,25893.0,91.6603669576801,True,1,25587.507110141065,True,False,9
64,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.02.03 16:30:00,2026.02.03 17:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,25491.25,25491.75,25497.5,25534.25,25467.75,25491.25,85.79879781707675,False,-1,25758.39639345123,False,True,5
65,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.02.06 20:00:00,2026.02.06 20:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,25109.25,25109.75,25070.25,25127.0,25052.75,25109.5,81.20485829111011,True,1,24846.26042512667,True,False,22
66,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.02.10 23:00:00,2026.02.10 23:30:03,FIRST_ALTERNATING_TRIANGLE,SELL,25277.5,25278.5,25259.0,25287.75,25252.75,25279.0,52.451400137747456,False,-1,25396.301481991657,False,True,5
67,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.02.16 01:00:00,2026.02.16 01:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,24834.25,24835.25,24835.0,24847.0,24822.25,24835.25,54.34372076733947,True,1,24671.593837697983,True,False,19
68,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.02.17 01:30:00,2026.02.17 02:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,24666.75,24668.25,24782.25,24797.0,24651.0,24669.0,59.6110348955749,False,-1,24847.39814352204,False,True,14
69,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.02.17 21:30:00,2026.02.17 23:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,24768.25,24769.5,24787.0,24788.75,24755.25,24768.25,89.18351363354401,True,1,24525.759082608394,True,False,11
70,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.02.20 11:00:00,2026.02.20 11:30:01,FIRST_ALTERNATING_TRIANGLE,SELL,24878.0,24878.75,24902.5,24902.5,24840.75,24879.25,38.53077125496103,False,-1,24987.21731376488,False,True,76
71,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.02.20 15:30:00,2026.02.20 16:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,25118.25,25118.75,24974.5,25127.0,24908.0,25118.75,105.91352002539416,True,1,24709.89640793886,True,False,2
72,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.02.23 20:30:00,2026.02.23 21:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,24766.25,24766.75,24706.5,24772.75,24704.5,24766.5,67.49847309384928,False,-1,24898.99491031283,False,True,11
73,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.02.24 20:00:00,2026.02.24 20:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,24998.75,24999.25,25021.75,25028.75,24995.75,24998.75,62.5091341579008,True,1,24833.395967800127,True,False,11
74,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.02.26 15:30:00,2026.02.26 16:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,24998.75,24999.5,24933.0,25026.75,24861.75,24998.75,82.78306277197711,False,-1,25192.599188315933,False,True,30
75,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.03.02 14:30:00,2026.03.02 15:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,24858.0,24862.0,24645.0,24898.5,24605.0,24858.0,95.08666027606606,True,1,24490.96357318461,True,False,1
76,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.03.06 09:00:00,2026.03.06 09:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,24960.75,24962.0,25074.25,25082.0,24957.75,24962.25,59.26991876606147,False,-1,25167.3389185906,False,True,53
77,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.03.09 19:30:00,2026.03.09 20:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,24990.75,24991.0,24952.0,25058.0,24894.75,24991.0,120.72230223273,True,1,24614.20809330181,True,False,22
78,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.03.11 22:30:00,2026.03.11 23:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,24848.5,24850.0,24862.75,24870.5,24816.5,24849.5,73.40972716908144,False,-1,25063.72918150725,False,True,1
79,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.03.17 12:00:00,2026.03.17 12:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,24693.25,24695.0,24600.5,24699.5,24598.25,24692.0,51.363381022874975,True,1,24494.784856931376,True,False,1
80,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.03.18 18:00:00,2026.03.18 18:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,24636.0,24637.0,24665.25,24696.75,24608.5,24636.75,66.47657461203335,False,-1,24794.107683748272,False,True,13
81,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.03.20 00:30:00,2026.03.20 01:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,24598.5,24599.0,24595.0,24611.25,24582.25,24598.25,78.08720402041826,True,1,24362.488387938745,True,False,2
82,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.03.20 12:00:00,2026.03.20 12:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,24492.75,24493.75,24444.25,24499.0,24424.75,24493.25,67.02633797868313,False,-1,24580.960221667505,False,True,6
83,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.03.23 15:30:00,2026.03.23 16:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,24380.75,24381.75,24612.25,24631.5,24370.25,24381.5,168.59681315583595,True,1,24168.71895614721,True,False,10
84,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.03.24 17:30:00,2026.03.24 18:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,24242.0,24243.0,24199.0,24253.25,24160.25,24242.5,102.28878516063436,False,-1,24495.64209625482,False,True,9
85,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.03.31 17:00:00,2026.03.31 17:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,23804.5,23805.25,23775.75,23876.0,23761.0,23804.75,124.24472523763154,True,1,23445.765824287104,True,False,33
86,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.04.02 06:30:00,2026.04.02 07:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,23815.5,23816.25,23789.0,23819.0,23783.25,23815.5,59.72449870682609,False,-1,23961.28999568942,False,True,12
87,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.04.02 14:00:00,2026.04.02 14:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,23941.0,23942.0,23897.75,24004.25,23859.0,23942.0,82.34608339471976,True,1,23684.58674981584,True,False,2
88,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.04.07 14:00:00,2026.04.07 14:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,24107.5,24108.25,24121.25,24132.0,23994.0,24107.5,88.46355657156049,False,-1,24328.39066971468,False,True,8
89,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.04.08 00:30:00,2026.04.08 01:00:01,FIRST_ALTERNATING_TRIANGLE,BUY,25080.0,25081.5,25042.25,25101.5,25007.75,25080.25,143.27079351421833,True,1,24624.812619457345,True,False,9
90,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.04.09 04:00:00,2026.04.09 04:30:05,FIRST_ALTERNATING_TRIANGLE,SELL,25013.5,25014.5,25019.5,25022.5,25007.75,25013.5,38.50577690342495,False,-1,25130.642330710278,False,True,27
91,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.04.09 20:00:00,2026.04.09 20:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,25239.75,25240.5,25249.0,25254.25,25220.25,25239.75,61.01226782580517,True,1,25054.213196522585,True,False,10
92,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.04.13 00:30:00,2026.04.13 01:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,25055.5,25056.0,24996.0,25056.0,24988.5,25055.0,72.88296636455348,False,-1,25171.573421253303,False,True,6
93,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.04.13 14:00:00,2026.04.13 14:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,25296.0,25296.5,25308.0,25333.0,25245.5,25296.25,58.67652920998921,True,1,25113.220412370032,True,False,3
94,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.04.21 14:30:00,2026.04.21 15:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,26737.0,26737.75,26842.0,26859.5,26730.0,26736.75,54.241081649464014,False,-1,26900.739036121875,False,True,1
95,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.04.22 19:00:00,2026.04.22 19:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,27045.0,27045.25,27014.0,27057.25,26978.0,27045.25,54.71321051161188,True,1,26874.26610900571,True,False,15
96,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.04.23 19:30:00,2026.04.23 20:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,26925.75,26926.5,26915.25,26944.5,26840.25,26926.25,102.4506766544106,False,-1,27121.45782649479,False,True,6
97,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.04.26 12:30:00,2026.04.26 22:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,27511.25,27295.0,27440.25,27440.25,27440.25,27440.25,24.704698984424414,True,1,27366.13590304673,True,False,50
98,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.04.28 02:30:00,2026.04.28 03:00:01,FIRST_ALTERNATING_TRIANGLE,SELL,27394.0,27394.75,27430.0,27430.0,27386.0,27395.25,39.4724364174109,False,-1,27505.83944412414,False,True,39
99,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.04.29 19:30:00,2026.04.29 20:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,27336.0,27336.75,27311.0,27338.75,27262.25,27336.0,73.67366104481997,True,1,27198.72984325489,True,False,40
100,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.04.30 14:00:00,2026.04.30 14:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,27228.25,27229.0,27247.25,27303.0,27163.25,27228.25,100.47710668861392,False,-1,27534.556320065843,False,True,2
101,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.05.01 14:00:00,2026.05.01 14:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,27871.0,27871.5,27873.5,27909.25,27852.0,27871.5,59.98029761131983,True,1,27700.68410716604,True,False,41
102,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.05.04 18:30:00,2026.05.04 19:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,27759.0,27759.5,27770.75,27777.0,27718.0,27759.75,79.83723650109889,False,-1,27940.854126663104,False,True,18
103,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.05.05 16:00:00,2026.05.05 16:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,28115.75,28116.25,28126.75,28152.5,28090.25,28115.75,53.61429951742798,True,1,27972.16066827524,True,False,17
104,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.05.07 23:30:00,2026.05.08 00:00:00,FIRST_ALTERNATING_TRIANGLE,SELL,28678.5,28679.5,28646.0,28679.75,28636.25,28679.0,83.1496774398382,False,-1,28891.040591466128,False,True,13
105,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.05.08 14:30:00,2026.05.08 15:00:00,FIRST_ALTERNATING_TRIANGLE,BUY,29161.75,29162.5,29111.0,29175.25,29073.5,29162.0,71.53923472297066,True,1,28916.20255092343,True,False,8
106,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.05.12 15:00:00,2026.05.12 15:30:00,FIRST_ALTERNATING_TRIANGLE,SELL,28876.75,28877.25,29013.75,29031.0,28856.5,28876.5,90.77866592759864,False,-1,29216.0859977828,False,True,19
107,QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,2026.05.13 22:00:00,2026.05.13 22:30:00,FIRST_ALTERNATING_TRIANGLE,BUY,29557.25,29558.0,29538.25,29576.5,29528.0,29558.25,68.34253253478529,True,1,29347.222402395644,True,False,12
