trade_id,variant,side,signal_time,entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,exit_reason,status,lot_size,pnl_points,gross_pnl,commission,fees,net_pnl,pnl_r,mae_points,mfe_points,bars_held,costs_included
"TR000186","KEEPER_SL12_TP36",sell,"2026-03-10T10:18:00+00:00","2026-03-10T10:18:00+00:00",24969.60000000,24981.60000000,24933.60000000,"2026-03-10T10:20:00+00:00",24981.60000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,25.80000000,6.60000000,2,false
"TR000187","KEEPER_SL12_TP36",sell,"2026-03-10T10:52:00+00:00","2026-03-10T10:52:00+00:00",25031.90000000,25043.90000000,24995.90000000,"2026-03-10T10:59:00+00:00",25043.90000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,15.80000000,14.20000000,7,false
"TR000188","KEEPER_SL12_TP36",sell,"2026-03-10T12:16:00+00:00","2026-03-10T12:16:00+00:00",25088.80000000,25100.80000000,25052.80000000,"2026-03-10T13:00:00+00:00",25052.80000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,11.40000000,38.60000000,44,false
"TR000189","KEEPER_SL12_TP36",sell,"2026-03-10T13:32:00+00:00","2026-03-10T13:32:00+00:00",25048.40000000,25060.40000000,25012.40000000,"2026-03-10T13:37:00+00:00",25012.40000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,1.50000000,43.50000000,5,false
"TR000190","KEEPER_SL12_TP36",sell,"2026-03-11T11:11:00+00:00","2026-03-11T11:11:00+00:00",24989.70000000,25001.70000000,24953.70000000,"2026-03-11T11:14:00+00:00",25001.70000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,12.20000000,8.40000000,3,false
"TR000191","KEEPER_SL12_TP36",sell,"2026-03-11T11:16:00+00:00","2026-03-11T11:16:00+00:00",24992.60000000,25004.60000000,24956.60000000,"2026-03-11T11:22:00+00:00",25004.60000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,13.80000000,18.80000000,6,false
"TR000192","KEEPER_SL12_TP36",sell,"2026-03-11T11:23:00+00:00","2026-03-11T11:23:00+00:00",25000.40000000,25012.40000000,24964.40000000,"2026-03-11T11:38:00+00:00",24964.40000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,11.20000000,36.80000000,15,false
"TR000193","KEEPER_SL12_TP36",sell,"2026-03-11T13:24:00+00:00","2026-03-11T13:24:00+00:00",24943.20000000,24955.20000000,24907.20000000,"2026-03-11T13:29:00+00:00",24955.20000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,13.20000000,10.30000000,5,false
"TR000194","KEEPER_SL12_TP36",sell,"2026-03-11T13:29:00+00:00","2026-03-11T13:29:00+00:00",24952.70000000,24964.70000000,24916.70000000,"2026-03-11T13:31:00+00:00",24964.70000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,16.10000000,8.30000000,2,false
"TR000195","KEEPER_SL12_TP36",sell,"2026-03-12T11:13:00+00:00","2026-03-12T11:13:00+00:00",24859.80000000,24871.80000000,24823.80000000,"2026-03-12T11:40:00+00:00",24823.80000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,9.40000000,36.00000000,27,false
