run_id,variant_id,sl,activation,distance,cost_scenario,month,trades,net_points
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,12,16,-206.34999999999945
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,1,17,520.4800000000005
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,2,14,348.70000000000164
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,3,20,72.70999999999822
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,4,16,112.57999999999902
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,5,13,74.82999999999902
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,6,15,268.5500000000002
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,7,34,118.24999999999909
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,8,19,127.79000000000042
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,9,9,-87.47999999999956
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,10,18,201.05999999999813
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,11,13,235.4099999999985
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,12,16,-206.34999999999945
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,1,17,520.4800000000005
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,2,14,348.70000000000164
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,3,20,72.70999999999822
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,4,16,112.57999999999902
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,5,13,74.82999999999902
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,6,15,268.5500000000002
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,7,34,118.24999999999909
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,8,19,127.79000000000042
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,9,9,-87.47999999999956
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,10,18,201.05999999999813
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,11,13,235.4099999999985
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,12,16,-206.34999999999945
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,1,17,495.4800000000005
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,2,14,328.70000000000164
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,3,20,50.20999999999822
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,4,16,150.95999999999913
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,5,13,64.82999999999902
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,6,15,248.55000000000018
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,7,34,124.26999999999907
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,8,19,122.79000000000042
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,9,9,-87.47999999999956
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,10,18,181.80999999999813
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,11,13,222.9099999999985
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,12,16,-211.34999999999945
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,1,17,495.4800000000005
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,2,14,328.70000000000164
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,3,20,50.20999999999822
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,4,16,150.95999999999913
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,5,13,64.82999999999902
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,6,15,248.55000000000018
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,7,34,124.26999999999907
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,8,19,122.79000000000042
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,9,9,-87.47999999999956
