run_id,variant_id,sl,activation,distance,cost_scenario,period,trades,net_points,profit_factor,expectancy
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,H2,65,636.6999999999975,1.6705705168037541,9.795384615384577
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,ALL,204,1691.6799999999957,1.6089166288721382,8.292549019607822
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,DEVELOPMENT,88,180.58999999999787,1.1726944115059463,2.0521590909090666
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,VALIDATION,51,874.3900000000003,2.1167605399951492,17.14490196078432
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,LOCKED_OOS,65,636.6999999999975,1.6705705168037541,9.795384615384577
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,H1,139,1054.9799999999982,1.5769047788307478,7.589784172661857
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,H2,65,636.6999999999975,1.6705705168037541,9.795384615384577
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,13,52.5,57.5,27.5,SPREAD_PLUS_25,ALL,204,1691.6799999999957,1.6089166288721382,8.292549019607822
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,DEVELOPMENT,88,180.58999999999787,1.1726944115059463,2.0521590909090666
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,14,52.5,57.5,27.5,SPREAD_PLUS_50,VALIDATION,51,874.3900000000003,2.1167605399951492,17.14490196078432
